card_id,card_description,association,card_type,nation,collected,duplicate,main_set,page_number
FRA6,Ibrahima Konate,France,-,France,no,0,yes,74
FRA7,Dayot Upamecano,France,-,France,no,0,yes,74
FRA8,Lucas Digne,France,-,France,no,0,yes,74
FRA9,Aurelien Tchouameni,France,-,France,no,0,yes,74
FRA10,Eduardo Camavinga,France,-,France,no,0,yes,74
FRA11,Manu Kone,France,-,France,no,0,yes,74
FRA12,Adrien Rabiot,France,-,France,no,0,yes,74
FRA13,Team Photo,France,-,France,no,0,yes,74
FRA14,Michael Olise,France,-,France,no,0,yes,74
FRA15,Ousmane Dembele,France,-,France,no,0,yes,74
FRA16,Bradley Barcola,France,-,France,no,0,yes,74
FRA17,Desire Doue,France,-,France,no,0,yes,74
FRA18,Kingsley Coman,France,-,France,no,0,yes,74
FRA19,Hugo Ekitike,France,-,France,no,0,yes,74
FRA2S,Mike Maignan,France,silver,France,no,0,NA,1
FRA3S,Theo Hernandez,France,silver,France,no,0,NA,1
FRA4S,William Saliba,France,silver,France,no,0,NA,1
FRA5S,Jules Kounde,France,silver,France,no,0,NA,1
FRA6S,Ibrahima Konate,France,silver,France,no,0,NA,1
FRA7S,Dayot Upamecano,France,silver,France,no,0,NA,1
FRA8S,Lucas Digne,France,silver,France,no,0,NA,1
FRA9S,Aurelien Tchouameni,France,silver,France,no,0,NA,1
FRA10S,Eduardo Camavinga,France,silver,France,no,0,NA,1
FRA11S,Manu Kone,France,silver,France,no,0,NA,1
FRA12S,Adrien Rabiot,France,silver,France,no,0,NA,1
FRA14S,Michael Olise,France,silver,France,no,0,NA,1
FRA15S,Ousmane Dembele,France,silver,France,no,0,NA,1
FRA16S,Bradley Barcola,France,silver,France,no,0,NA,1
FRA17S,Desire Doue,France,silver,France,no,0,NA,1
FRA18S,Kingsley Coman,France,silver,France,no,0,NA,1
FRA19S,Hugo Ekitike,France,silver,France,no,0,NA,1
FRA20,Kylian Mbappe,France,-,France,no,0,yes,74
FRA20S,Kylian Mbappe,France,silver,France,no,0,NA,1
SEN1,Emblem,Senegal,foil,Senegal,no,0,yes,76
SEN2,Edouard Mendy,Senegal,-,Senegal,no,0,yes,76
SEN3,Yehvann Diouf,Senegal,-,Senegal,no,0,yes,76
SEN4,Moussa Niakhate,Senegal,-,Senegal,no,0,yes,76
SEN5,Abdoulaye Seck,Senegal,-,Senegal,no,0,yes,76
SEN6,Ismail Jakobs,Senegal,-,Senegal,no,0,yes,76
SEN7,El Hadji Malick Diouf,Senegal,-,Senegal,no,0,yes,76
SEN8,Kalidou Koulibaly,Senegal,-,Senegal,no,0,yes,76
SEN9,Idrissa Gana Gueye,Senegal,-,Senegal,no,0,yes,76
SEN10,Pape Matar Sarr,Senegal,-,Senegal,no,0,yes,76
SEN11,Pape Gueye,Senegal,-,Senegal,no,0,yes,76
SEN12,Habib Diarra,Senegal,-,Senegal,no,0,yes,76
SEN13,Team Photo,Senegal,-,Senegal,no,0,yes,76
SEN14,Lamine Camara,Senegal,-,Senegal,no,0,yes,76
SEN15,Sadio Mane,Senegal,-,Senegal,no,0,yes,76
SEN16,Ismaila Sarr,Senegal,-,Senegal,no,0,yes,76
SEN17,Boulaye Dia,Senegal,-,Senegal,no,0,yes,76
SEN18,Iliman Ndiaye,Senegal,-,Senegal,no,0,yes,76
SEN19,Nicolas Jackson,Senegal,-,Senegal,no,0,yes,76
SEN20,Krepin Diatta,Senegal,-,Senegal,no,0,yes,76
IRQ1,Emblem,Iraq,foil,Iraq,no,0,yes,78
IRQ2,Jalal Hassan,Iraq,-,Iraq,no,0,yes,78
IRQ3,Rebin Sulaka,Iraq,-,Iraq,no,0,yes,78
IRQ4,Hussein Ali,Iraq,-,Iraq,no,0,yes,78
IRQ5,Akam Hashem,Iraq,-,Iraq,no,0,yes,78
IRQ6,Merchas Doski,Iraq,-,Iraq,no,0,yes,78
IRQ7,Zaid Tahseen,Iraq,-,Iraq,no,0,yes,78
IRQ8,Manaf Younis,Iraq,-,Iraq,no,0,yes,78
IRQ9,Zidane Iqbal,Iraq,-,Iraq,no,0,yes,78
IRQ10,Amir Al-Ammari,Iraq,-,Iraq,no,0,yes,78
IRQ11,Ibrahim Bavesh,Iraq,-,Iraq,no,0,yes,78
IRQ12,Ali Jasim,Iraq,-,Iraq,yes,0,yes,78
IRQ13,Team Photo,Iraq,-,Iraq,no,0,yes,78
IRQ14,Youssef Amyn,Iraq,-,Iraq,yes,0,yes,78
IRQ15,Aimar Sher,Iraq,-,Iraq,no,0,yes,78
IRQ16,Marko Farji,Iraq,-,Iraq,no,0,yes,78
IRQ17,Osama Rashid,Iraq,-,Iraq,no,0,yes,78
IRQ18,Ali Al-Hamadi,Iraq,-,Iraq,no,0,yes,78
IRQ19,Aymen Hussein,Iraq,-,Iraq,no,0,yes,78
IRQ20,Mohanad Ali,Iraq,-,Iraq,no,0,yes,78
NOR1,Emblem,Norway,foil,Norway,no,0,yes,80
NOR2,Orjan Nyland,Norway,-,Norway,no,0,yes,80
NOR3,Julian Ryerson,Norway,-,Norway,no,0,yes,80
NOR4,Leo Ostigard,Norway,-,Norway,no,0,yes,80
NOR5,Kristoffer Vassbakk Ajer,Norway,-,Norway,no,0,yes,80
NOR6,Marcus Holmgren Pedersen,Norway,-,Norway,no,0,yes,80
NOR7,David Moller Wolfe,Norway,-,Norway,no,0,yes,80
NOR8,Torbjorn Heggem,Norway,-,Norway,no,0,yes,80
NOR9,Morten Thorsby,Norway,-,Norway,no,0,yes,80
NOR10,Martin Odegaard,Norway,-,Norway,no,0,yes,80
NOR11,Sander Berge,Norway,-,Norway,no,0,yes,80
NOR12,Andreas Schjelderup,Norway,-,Norway,no,0,yes,80
NOR13,Team Photo,Norway,-,Norway,no,0,yes,80
NOR14,Patrick Berg,Norway,-,Norway,no,0,yes,80
NOR15,Erling Haaland,Norway,-,Norway,no,0,yes,80
NOR16,Alexander Sorloth,Norway,-,Norway,no,0,yes,80
NOR17,Aron Donnum,Norway,-,Norway,no,0,yes,80
NOR18,Jorgen Strand Larsen,Norway,-,Norway,no,0,yes,80
NOR19,Antonio Nusa,Norway,-,Norway,no,0,yes,80
NOR20,Oscar Bobb,Norway,-,Norway,no,0,yes,80
ARG1,Emblem,Argentina,foil,Argentina,no,0,yes,82
ARG2,Emiliano Martinez,Argentina,-,Argentina,yes,0,yes,82
ARG3,Nahuel Molina,Argentina,-,Argentina,no,0,yes,82
ARG4,Cristian Romero,Argentina,-,Argentina,no,0,yes,82
ARG5,Nicolas Otamendi,Argentina,-,Argentina,no,0,yes,82
ARG6,Nicolas Tagliafico,Argentina,-,Argentina,no,0,yes,82
ARG7,Leonardo Balerdi,Argentina,-,Argentina,no,0,yes,82
ARG8,Enzo Fernandez,Argentina,-,Argentina,no,0,yes,82
ARG9,Alexis Mac Allister,Argentina,-,Argentina,no,0,yes,82
ARG10,Rodrigo De Paul,Argentina,-,Argentina,no,0,yes,82
ARG11,Exequiel Palacios,Argentina,-,Argentina,no,0,yes,82
ARG12,Leandro Paredes,Argentina,-,Argentina,no,0,yes,82
ARG13,Team Photo,Argentina,-,Argentina,no,0,yes,82
ARG14,Nico Paz,Argentina,-,Argentina,no,0,yes,82
ARG15,Franco Mastantuono,Argentina,-,Argentina,no,0,yes,82
ARG16,Nico Gonzalez,Argentina,-,Argentina,no,0,yes,82
ARG17,Lionel Messi,Argentina,-,Argentina,no,0,yes,82
ARG18,Lautaro Martinez,Argentina,-,Argentina,no,0,yes,82
ARG19,Julian Alvarez,Argentina,-,Argentina,no,0,yes,82
ARG20,Giuliano Simeone,Argentina,-,Argentina,no,0,yes,82
ALG1,Emblem,Algeria,foil,Algeria,no,0,yes,84
ALG2,Alexis Guendouz,Algeria,-,Algeria,no,0,yes,84
ALG3,Ramy Bensebaini,Algeria,-,Algeria,no,0,yes,84
ALG4,Youcef Atal,Algeria,-,Algeria,no,0,yes,84
ALG5,Rayan Ait-Nouri,Algeria,-,Algeria,no,0,yes,84
ALG6,Mohamed Amine Tougai,Algeria,-,Algeria,no,0,yes,84
ALG7,Aissa Mandi,Algeria,-,Algeria,no,0,yes,84
ALG8,Ismael Bennacer,Algeria,-,Algeria,no,0,yes,84
ALG9,Houssem Aouar,Algeria,-,Algeria,no,0,yes,84
ALG10,Hicham Boudaoui,Algeria,-,Algeria,no,0,yes,84
ALG11,Ramiz Zerrouki,Algeria,-,Algeria,no,0,yes,84
ALG12,Nabil Bentaleb,Algeria,-,Algeria,no,0,yes,84
ALG13,Team Photo,Algeria,-,Algeria,no,0,yes,84
ALG14,Fares Chaibi,Algeria,-,Algeria,no,0,yes,84
ALG15,Riyad Mahrez,Algeria,-,Algeria,no,0,yes,84
ALG16,Said Benrahma,Algeria,-,Algeria,no,0,yes,84
ALG17,Anis Hadj Moussa,Algeria,-,Algeria,no,0,yes,84
ALG18,Amine Gouiri,Algeria,-,Algeria,no,0,yes,84
ALG19,Baghdad Bounedjah,Algeria,-,Algeria,no,0,yes,84
ALG20,Mohammed Amoura,Algeria,-,Algeria,no,0,yes,84
AUT1,Emblem,Austria,foil,Austria,no,0,yes,86
AUT2,Alexander Schlager,Austria,-,Austria,no,0,yes,86
AUT3,Patrick Pentz,Austria,-,Austria,no,0,yes,86
AUT4,David Alaba,Austria,-,Austria,no,0,yes,86
AUT5,Kevin Danso,Austria,-,Austria,no,0,yes,86
AUT6,Philipp Lienhart,Austria,-,Austria,no,0,yes,86
AUT7,Stefan Posch,Austria,-,Austria,no,0,yes,86
AUT8,Phillipp Mwene,Austria,-,Austria,no,0,yes,86
AUT9,Alexander Prass,Austria,-,Austria,no,0,yes,86
AUT10,Xaver Schlager,Austria,-,Austria,no,0,yes,86
AUT11,Marcel Sabitzer,Austria,-,Austria,no,0,yes,86
AUT12,Konrad Laimer,Austria,-,Austria,no,0,yes,86
AUT13,Team Photo,Austria,-,Austria,no,0,yes,86
AUT14,Florian Grillitsch,Austria,-,Austria,no,0,yes,86
AUT15,Nicolas Seiwald,Austria,-,Austria,no,0,yes,86
AUT16,Romano Schmid,Austria,-,Austria,no,0,yes,86
AUT17,Patrick Wimmer,Austria,-,Austria,no,0,yes,86
AUT18,Christoph Baumgartner,Austria,-,Austria,no,0,yes,86
AUT19,Michael Gregoritsch,Austria,-,Austria,no,0,yes,86
AUT20,Marko Arnautovic,Austria,-,Austria,no,0,yes,86
AUT2S,Alexander Schlager,Austria,silver,Austria,no,0,NA,1
AUT3S,Patrick Pentz,Austria,silver,Austria,no,0,NA,1
AUT4S,David Alaba,Austria,silver,Austria,no,0,NA,1
AUT5S,Kevin Danso,Austria,silver,Austria,no,0,NA,1
AUT6S,Philipp Lienhart,Austria,silver,Austria,no,0,NA,1
AUT7S,Stefan Posch,Austria,silver,Austria,no,0,NA,1
AUT8S,Phillipp Mwene,Austria,silver,Austria,no,0,NA,1
AUT9S,Alexander Prass,Austria,silver,Austria,no,0,NA,1
AUT10S,Xaver Schlager,Austria,silver,Austria,no,0,NA,1
AUT11S,Marcel Sabitzer,Austria,silver,Austria,no,0,NA,1
AUT12S,Konrad Laimer,Austria,silver,Austria,no,0,NA,1
AUT14S,Florian Grillitsch,Austria,silver,Austria,no,0,NA,1
AUT15S,Nicolas Seiwald,Austria,silver,Austria,no,0,NA,1
AUT16S,Romano Schmid,Austria,silver,Austria,no,0,NA,1
AUT17S,Patrick Wimmer,Austria,silver,Austria,no,0,NA,1
AUT18S,Christoph Baumgartner,Austria,silver,Austria,no,0,NA,1
AUT19S,Michael Gregoritsch,Austria,silver,Austria,no,0,NA,1
AUT20S,Marko Arnautovic,Austria,silver,Austria,no,0,NA,1
JOR1,Emblem,Jordan,foil,Jordan,no,0,yes,88
JOR2,Yazeed Abulaila,Jordan,-,Jordan,no,0,yes,88
JOR3,Ihsan Haddad,Jordan,-,Jordan,no,0,yes,88
JOR4,Mohammad Abu Hashish,Jordan,-,Jordan,no,0,yes,88
JOR5,Yazan Al-Arab,Jordan,-,Jordan,no,0,yes,88
JOR6,Abdallah Nasib,Jordan,-,Jordan,no,0,yes,88
JOR7,Saleem Obaid,Jordan,-,Jordan,no,0,yes,88
JOR8,Mohammad Abualnadi,Jordan,-,Jordan,no,0,yes,88
JOR9,Ibrahim Saadeh,Jordan,-,Jordan,no,0,yes,88
JOR10,Nizar Al-Rashdan,Jordan,-,Jordan,no,0,yes,88
JOR11,Noor Al-Rawabdeh,Jordan,-,Jordan,no,0,yes,88
JOR12,Mohannad Abu Taha,Jordan,-,Jordan,no,0,yes,88
JOR13,Team Photo,Jordan,-,Jordan,no,0,yes,88
JOR14,Amer Jamous,Jordan,-,Jordan,no,0,yes,88
JOR15,Musa Al-Taamari,Jordan,-,Jordan,no,0,yes,88
JOR16,Yazan Al-Naimat,Jordan,-,Jordan,no,0,yes,88
JOR17,Mahmoud Al-Mardi,Jordan,-,Jordan,no,0,yes,88
JOR18,Ali Olwan,Jordan,-,Jordan,no,0,yes,88
JOR19,Mohammad Abu Zrayq,Jordan,-,Jordan,no,0,yes,88
JOR20,Ibrahim Sabra,Jordan,-,Jordan,no,0,yes,88
POR1,Emblem,Portugal,foil,Portugal,no,0,yes,90
POR2,Diogo Costa,Portugal,-,Portugal,no,0,yes,90
POR3,Jose Sa,Portugal,-,Portugal,no,0,yes,90
POR4,Ruben Dias,Portugal,-,Portugal,no,0,yes,90
POR5,Joao Cancelo,Portugal,-,Portugal,yes,0,yes,90
POR6,Diogo Dalot,Portugal,-,Portugal,no,0,yes,90
POR7,Nuno Mendes,Portugal,-,Portugal,no,0,yes,90
POR8,Goncalo Inacio,Portugal,-,Portugal,no,0,yes,90
POR9,Bernardo Silva,Portugal,-,Portugal,no,0,yes,90
POR10,Bruno Fernandes,Portugal,-,Portugal,no,0,yes,90
POR11,Ruben Neves,Portugal,-,Portugal,no,0,yes,90
POR12,Vitinha,Portugal,-,Portugal,no,0,yes,90
POR13,Team Photo,Portugal,-,Portugal,no,0,yes,90
POR14,Joao Neves,Portugal,-,Portugal,no,0,yes,90
POR15,Cristiano Ronaldo,Portugal,-,Portugal,no,0,yes,90
POR16,Francisco Trincao,Portugal,-,Portugal,no,0,yes,90
POR17,Joao Felix,Portugal,-,Portugal,no,0,yes,90
POR18,Goncalo Ramos,Portugal,-,Portugal,no,0,yes,90
POR19,Pedro Neto,Portugal,-,Portugal,no,0,yes,90
POR20,Rafael Leao,Portugal,-,Portugal,no,0,yes,90
COD1,Emblem,Congo DR,foil,Congo DR,no,0,yes,92
COD2,Lionel Mpasi-Nzau,Congo DR,-,Congo DR,no,0,yes,92
COD3,Aaron Wan-Bissaka,Congo DR,-,Congo DR,no,0,yes,92
COD4,Axel Tuanzebe,Congo DR,-,Congo DR,no,0,yes,92
COD5,Arthur Masuaku,Congo DR,-,Congo DR,no,0,yes,92
COD6,Chancel Mbemba,Congo DR,-,Congo DR,no,0,yes,92
COD7,Joris Kayembe,Congo DR,-,Congo DR,no,0,yes,92
COD8,Charles Pickel,Congo DR,-,Congo DR,no,0,yes,92
COD9,Ngal'ayel Mukau,Congo DR,-,Congo DR,no,0,yes,92
COD10,Edo Kayembe,Congo DR,-,Congo DR,no,0,yes,92
COD11,Samuel Moutoussamy,Congo DR,-,Congo DR,no,0,yes,92
COD12,Noah Sadiki,Congo DR,-,Congo DR,no,0,yes,92
COD13,Team Photo,Congo DR,-,Congo DR,no,0,yes,92
COD14,Theo Bongonda,Congo DR,-,Congo DR,no,0,yes,92
COD15,Meschak Elia,Congo DR,-,Congo DR,no,0,yes,92
COD16,Yoane Wissa,Congo DR,-,Congo DR,no,0,yes,92
COD17,Brian Cipenga,Congo DR,-,Congo DR,no,0,yes,92
COD18,Fiston Mayele,Congo DR,-,Congo DR,yes,0,yes,92
COD19,Cedric Bakambu,Congo DR,-,Congo DR,no,0,yes,92
COD20,Nathanael Mbuku,Congo DR,-,Congo DR,no,0,yes,92
UZB1,Emblem,Uzbekistan,foil,Uzbekistan,no,0,yes,94
UZB2,Utkir Yusupov,Uzbekistan,-,Uzbekistan,no,0,yes,94
UZB3,Farrukh Savfiev,Uzbekistan,-,Uzbekistan,no,0,yes,94
UZB4,Sherzod Nasrullaev,Uzbekistan,-,Uzbekistan,no,0,yes,94
UZB5,Umar Eshmurodov,Uzbekistan,-,Uzbekistan,no,0,yes,94
UZB6,Husniddin Aliqulov,Uzbekistan,-,Uzbekistan,no,0,yes,94
UZB7,Rustamjon Ashurmatov,Uzbekistan,-,Uzbekistan,no,0,yes,94
UZB8,Khojiakbar Alijonov,Uzbekistan,-,Uzbekistan,no,0,yes,94
UZB9,Abdukodir Khusanov,Uzbekistan,-,Uzbekistan,no,0,yes,94
UZB10,Odiljon Hamrobekov,Uzbekistan,-,Uzbekistan,no,0,yes,94
UZB11,Otabek Shukurov,Uzbekistan,-,Uzbekistan,no,0,yes,94
UZB12,Jamshid Iskanderov,Uzbekistan,-,Uzbekistan,no,0,yes,94
UZB13,Team Photo,Uzbekistan,-,Uzbekistan,no,0,yes,94
UZB14,Azizbek Turgunboev,Uzbekistan,-,Uzbekistan,no,0,yes,94
UZB15,Khojimat Erkinov,Uzbekistan,-,Uzbekistan,no,0,yes,94
UZB16,Eldor Shomurodov,Uzbekistan,-,Uzbekistan,no,0,yes,94
UZB17,Oston Urunov,Uzbekistan,-,Uzbekistan,no,0,yes,94
UZB18,Jaloliddin Masharipov,Uzbekistan,-,Uzbekistan,no,0,yes,94
UZB19,Igor Sergeev,Uzbekistan,-,Uzbekistan,no,0,yes,94
UZB20,Abbosbek Fayzullaev,Uzbekistan,-,Uzbekistan,no,0,yes,94
COL1,Emblem,Colombia,foil,Colombia,no,0,yes,96
COL2,Camilo Vargas,Colombia,-,Colombia,no,0,yes,96
COL3,David Ospina,Colombia,-,Colombia,no,0,yes,96
COL4,Davinson Sanchez,Colombia,-,Colombia,no,0,yes,96
COL5,Yerry Mina,Colombia,-,Colombia,no,0,yes,96
COL6,Daniel Munoz,Colombia,-,Colombia,no,0,yes,96
COL7,Johan Mojica,Colombia,-,Colombia,no,0,yes,96
COL8,Jhon Lucumi,Colombia,-,Colombia,no,0,yes,96
COL9,Santiago Arias,Colombia,-,Colombia,no,0,yes,96
COL10,Jefferson Lerma,Colombia,-,Colombia,no,0,yes,96
COL11,Kevin Castano,Colombia,-,Colombia,no,0,yes,96
COL12,Richard Rios,Colombia,-,Colombia,no,0,yes,96
COL13,Team Photo,Colombia,-,Colombia,no,0,yes,96
COL14,James Rodriguez,Colombia,-,Colombia,no,0,yes,96
COL15,Juan Fernando Quintero,Colombia,-,Colombia,no,0,yes,96
COL16,Jorge Carrascal,Colombia,-,Colombia,no,0,yes,96
COL17,Jhon Arias,Colombia,-,Colombia,no,0,yes,96
COL18,Jhon Cordova,Colombia,-,Colombia,no,0,yes,96
COL19,Luis Suarez,Colombia,-,Colombia,no,0,yes,96
COL20,Luis Diaz,Colombia,-,Colombia,no,0,yes,96
ENG1,Emblem,England,foil,England,no,0,yes,98
ENG2,Jordan Pickford,England,-,England,no,0,yes,98
ENG3,John Stones,England,-,England,no,0,yes,98
ENG4,Marc Guehi,England,-,England,no,0,yes,98
ENG5,Ezri Konsa,England,-,England,no,0,yes,98
ENG6,Trent Alexander-Arnold,England,-,England,no,0,yes,98
ENG7,Reece James,England,-,England,no,0,yes,98
ENG8,Dan Burn,England,-,England,no,0,yes,98
ENG9,Jordan Henderson,England,-,England,no,0,yes,98
ENG10,Declan Rice,England,-,England,no,0,yes,98
ENG11,Jude Bellingham,England,-,England,no,0,yes,98
ENG12,Cole Palmer,England,-,England,no,0,yes,98
ENG13,Team Photo,England,-,England,no,0,yes,98
ENG14,Morgan Rogers,England,-,England,no,0,yes,98
ENG15,Anthony Gordon,England,-,England,no,0,yes,98
ENG16,Phil Foden,England,-,England,no,0,yes,98
ENG17,Bukayo Saka,England,-,England,no,0,yes,98
ENG18,Harry Kane,England,-,England,no,0,yes,98
ENG19,Marcus Rashford,England,-,England,no,0,yes,98
ENG20,Ollie Watkins,England,-,England,no,0,yes,98
CRO1,Emblem,Croatia,foil,Croatia,no,0,yes,100
CRO2,Dominik Livakovic,Croatia,-,Croatia,no,0,yes,100
CRO3,Duje Caleta-Car,Croatia,-,Croatia,no,0,yes,100
CRO4,Josko Gvardiol,Croatia,-,Croatia,no,0,yes,100
CRO5,Josip Stanisic,Croatia,-,Croatia,no,0,yes,100
CRO6,Luka Vuskovic,Croatia,-,Croatia,no,0,yes,100
CRO7,Josip Sutalo,Croatia,-,Croatia,no,0,yes,100
CRO8,Kristijan Jakic,Croatia,-,Croatia,no,0,yes,100
CRO9,Luka Modric,Croatia,-,Croatia,no,0,yes,100
CRO10,Mateo Kovacic,Croatia,-,Croatia,no,0,yes,100
CRO11,Martin Baturina,Croatia,-,Croatia,no,0,yes,100
CRO12,Lovro Majer,Croatia,-,Croatia,no,0,yes,100
CRO13,Team Photo,Croatia,-,Croatia,no,0,yes,100
CRO14,Mario Pasalic,Croatia,-,Croatia,no,0,yes,100
CRO15,Petar Sucic,Croatia,-,Croatia,no,0,yes,100
CRO16,Ivan Perisic,Croatia,-,Croatia,no,0,yes,100
CRO17,Marco Pasalic,Croatia,-,Croatia,no,0,yes,100
CRO18,Ante Budimir,Croatia,-,Croatia,no,0,yes,100
CRO19,Andrej Kramaric,Croatia,-,Croatia,no,0,yes,100
CRO20,Franjo Ivanovic,Croatia,-,Croatia,no,0,yes,100
GHA1,Emblem,Ghana,foil,Ghana,no,0,yes,102
GHA2,Lawrence Ati Zigi,Ghana,-,Ghana,no,0,yes,102
GHA3,Tariq Lamptey,Ghana,-,Ghana,no,0,yes,102
GHA4,Mohammed Salisu,Ghana,-,Ghana,no,0,yes,102
GHA5,Alidu Seidu,Ghana,-,Ghana,no,0,yes,102
GHA6,Alexander Djiku,Ghana,-,Ghana,no,0,yes,102
GHA7,Gideon Mensah,Ghana,-,Ghana,no,0,yes,102
GHA8,Caleb Yirenkyi,Ghana,-,Ghana,no,0,yes,102
GHA9,Abdul Issahaku Fatawu,Ghana,-,Ghana,no,0,yes,102
GHA10,Thomas Partey,Ghana,-,Ghana,no,0,yes,102
GHA11,Salis Abdul Samed,Ghana,-,Ghana,no,0,yes,102
GHA12,Kamaldeen Sulemana,Ghana,-,Ghana,no,0,yes,102
GHA13,Team Photo,Ghana,-,Ghana,no,0,yes,102
GHA14,Mohammed Kudus,Ghana,-,Ghana,no,0,yes,102
GHA15,Inaki Williams,Ghana,-,Ghana,no,0,yes,102
GHA16,Jordan Ayew,Ghana,-,Ghana,no,0,yes,102
GHA17,Andre Ayew,Ghana,-,Ghana,no,0,yes,102
GHA18,Joseph Paintsil,Ghana,-,Ghana,no,0,yes,102
GHA19,Osman Bukari,Ghana,-,Ghana,no,0,yes,102
GHA20,Antoine Semenyo,Ghana,-,Ghana,no,0,yes,102
PAN1,Emblem,Panama,foil,Panama,no,0,yes,104
PAN2,Orlando Mosquera,Panama,-,Panama,no,0,yes,104
PAN3,Luis Mejia,Panama,-,Panama,no,0,yes,104
PAN4,Fidel Escobar,Panama,-,Panama,no,0,yes,104
PAN5,Andres Andrade,Panama,-,Panama,no,0,yes,104
PAN6,Michael Amir Murillo,Panama,-,Panama,no,0,yes,104
PAN7,Eric Davis,Panama,-,Panama,no,0,yes,104
PAN8,Jose Cordoba,Panama,-,Panama,no,0,yes,104
PAN9,Cesar Blackman,Panama,-,Panama,no,0,yes,104
PAN10,Cristian Martinez,Panama,-,Panama,no,0,yes,104
PAN11,Anibal Godoy,Panama,-,Panama,no,0,yes,104
PAN12,Adalberto Carrasquilla,Panama,-,Panama,no,0,yes,104
PAN13,Team Photo,Panama,-,Panama,no,0,yes,104
PAN14,Edgar Barcenas,Panama,-,Panama,no,0,yes,104
PAN15,Carlos Harvey,Panama,-,Panama,no,0,yes,104
PAN16,Ismael Diaz,Panama,-,Panama,no,0,yes,104
PAN17,Jose Fajardo,Panama,-,Panama,no,0,yes,104
PAN18,Cecilio Waterman,Panama,-,Panama,no,0,yes,104
PAN19,Jose Luiz Rodriguez,Panama,-,Panama,no,0,yes,104
PAN20,Alberto Quintero,Panama,-,Panama,no,0,yes,104
FWC9,Italy 1934,FIFA World Cup History,foil,FIFA World Cup History,no,0,yes,106
FWC10,Uruguay 1950,FIFA World Cup History,foil,FIFA World Cup History,no,0,yes,106
FWC11,West Germany 1954,FIFA World Cup History,foil,FIFA World Cup History,no,0,yes,106
FWC12,Brazil 1962,FIFA World Cup History,foil,FIFA World Cup History,no,0,yes,106
FWC13,West Germany 1974,FIFA World Cup History,foil,FIFA World Cup History,no,0,yes,106
FWC14,Argentina 1986,FIFA World Cup History,foil,FIFA World Cup History,no,0,yes,108
FWC15,Brazil 1994,FIFA World Cup History,foil,FIFA World Cup History,no,0,yes,108
FWC16,Brazil 2002,FIFA World Cup History,foil,FIFA World Cup History,no,0,yes,108
FWC17,Italy 2006,FIFA World Cup History,foil,FIFA World Cup History,no,0,yes,108
FWC18,Germany 2014,FIFA World Cup History,foil,FIFA World Cup History,no,0,yes,108
FWC19,Argentina 2022,FIFA World Cup History,foil,FIFA World Cup History,no,0,yes,108
CC-US1,Lamine Yamal,Spain,Coca Cola / USA Canada,Spain,no,0,yes,110
CC-US2,Joshua Kimmich,Germany,Coca Cola / USA Canada,Germany,no,0,yes,110
CC-US3,Harry Kane,England,Coca Cola / USA Canada,England,no,0,yes,110
CC-US4,Santiago Gimenez,Mexico,Coca Cola / USA Canada,Mexico,no,0,yes,110
CC-US5,Antonee Robinson,USA,Coca Cola / USA Canada,USA,no,0,yes,110
CC-US6,Jefferson Lerma,Colombia,Coca Cola / USA Canada,Colombia,no,0,yes,110
CC-US7,Edson Alvarez,Mexico,Coca Cola / USA Canada,Mexico,no,0,yes,110
CC-US8,Virgil van Dijk,Netherlands,Coca Cola / USA Canada,Netherlands,no,0,yes,110
CC-US9,Alphonso Davies,Canada,Coca Cola / USA Canada,Canada,no,0,yes,110
CC-US10,Weston McKennie,USA,Coca Cola / USA Canada,USA,no,0,yes,110
CC-US11,Lautaro Martinez,Argentina,Coca Cola / USA Canada,Argentina,no,0,yes,110
CC-US12,Gabriel Magalhaes,Brazil,Coca Cola / USA Canada,Brazil,no,0,yes,110
CC-LAM1,Lamine Yamal,Spain,Coca Cola / Latin America,Spain,no,0,NA,1
CC-LAM2,Joshua Kimmich,Germany,Coca Cola / Latin America,Germany,no,0,NA,1
CC-LAM3,Harry Kane,England,Coca Cola / Latin America,England,no,0,NA,1
CC-LAM4,Santiago Gimenez,Mexico,Coca Cola / Latin America,Mexico,no,0,NA,1
CC-LAM5,Josko Gvardiol,Croatia,Coca Cola / Latin America,Croatia,no,0,NA,1
CC-LAM6,Federico Valverde,Uruguay,Coca Cola / Latin America,Uruguay,no,0,NA,1
CC-LAM7,Jefferson Lerma,Colombia,Coca Cola / Latin America,Colombia,no,0,NA,1
CC-LAM8,Enner Valencia,Ecuador,Coca Cola / Latin America,Ecuador,no,0,NA,1
CC-LAM9,Gabriel Magalhaes,Brazil,Coca Cola / Latin America,Brazil,no,0,NA,1
CC-LAM10,Virgil van Dijk,Netherlands,Coca Cola / Latin America,Netherlands,no,0,NA,1
CC-LAM11,Alphonso Davies,Canada,Coca Cola / Latin America,Canada,no,0,NA,1
CC-LAM12,Emiliano Martinez,Argentina,Coca Cola / Latin America,Argentina,no,0,NA,1
CC-LAM13,Raul Jimenez,Mexico,Coca Cola / Latin America,Mexico,no,0,NA,1
CC-LAM14,Lautaro Martinez,Argentina,Coca Cola / Latin America,Argentina,no,0,NA,1
CC-RW1,Lamine Yamal,Spain,Coca Cola / Rest of the World,Spain,no,0,NA,1
CC-RW2,Joshua Kimmich,Germany,Coca Cola / Rest of the World,Germany,no,0,NA,1
